The Attaché;2021;Avshalom, un músico exitoso, se traslada a París cuando su esposa Annabelle consigue un trabajo allí. Son recibidos por ataques terroristas y el sueño de un año romántico en el extranjero se vuelve una pesadilla.;https://www.starz.com/ar/es/series/The-Attaché-62262
The Girlfriend Experience;2016;"""The Girlfriend Experience"" es la reinvención de la aclamada película en 2009 del mismo nombre de Steven Soderbergh y explora las relaciones entre acompañantes exclusivas y sus clientes, para quienes proveen de mucho más cosas que solo sexo. Conocidas como acompañantes, son mujeres que proveen ""La Experiencia de una Amiga""—relaciones a un precio muy alto.";https://www.starz.com/ar/es/series/The-Girlfriend-Experience-25586
The Night Manager;2016;"""The Night Manager"" es un apasionante thriller de espionaje,  muestra las andanzas del ex soldado inglés Jonathan Pine (Hiddleston), que, tras incorporarse al servicio de inteligencia británico, debe infiltrarse en el círculo de confianza del peligroso traficante de armas Richard Onslow Roper (Laurie). Debido a esto, Pine deberá convertirse en todo un criminal.";https://www.starz.com/ar/es/series/The-Night-Manager-61267
The Stand;2020;The Stand es la visión apocalíptica de Stephen King de un mundo asolado por una plaga y envuelto en una lucha básica entre el bien y el mal. El destino de la humanidad descansa en los frágiles hombros de la Madre Abagail, de 108 años, y algunos sobrevivientes. Sus peores pesadillas se encarnan en un hombre con una sonrisa letal y poderes atroces: Randall Flagg, el Hombre Oscuro.;https://www.starz.com/ar/es/series/The-Stand-61994
And Then There Were None;2015;Basado en la novela policíaca más vendida de todos los tiempos por Agatha Christie. Ocho extraños son atraídos a una isla aislada en la costa de Devon, donde pronto queda claro que han sido convocados para expiar sus crímenes pasados.;https://www.starz.com/ar/es/series/And-Then-There-Were-None-45929
Boss;2011;El alcalde Tom Kane (Kelsey Grammer) es el rey de Chicago y gobierna su dominio con un puño de hierro. El engaño, el escándalo y la traición van de la mano con la forma de política de Kane.;https://www.starz.com/ar/es/series/Boss-30888
Das Boot;2018;En 1942, en la Francia ocupada, el U-612 está listo para su primer viaje, dirigiéndose a la guerra que es cada vez más violenta, con su joven tripulación y su nuevo capitán, Klaus Hoffman.;https://www.starz.com/ar/es/series/Das-Boot-45955
Flesh And Bone;2015;Esta oscura y delicada serie sigue a una joven bailarina, Claire, que se une a una prestigiosa compañía de ballet de la ciudad de Nueva York y se encuentra con el glamour y la disfunción del mundo del ballet.;https://www.starz.com/ar/es/series/Flesh-And-Bone-24528
Houdini;2014;Adrien Brody, ganador del Premio de la Academia*, y Kristen Connolly estelarizan HOUDINI, que sigue la transformación de inmigrante a superestrella del mundialmente famoso maestro escapista.;https://www.starz.com/ar/es/series/Houdini-45824
No Man's Land;2020;La hermana de Antoine lleva varios años declarada muerta, pero él está convencido de que está viva. Viaja a Siria, donde las combatientes kurdas luchan contra ISIS.;https://www.starz.com/ar/es/series/No-Man's-Land-61940
P-Valley;2020;En la profundidad de Mississippi Delta yace un oasis de diversión y glamour en un momento difícil para la existencia humana donde la belleza es difícil de encontrar.;https://www.starz.com/ar/es/series/P-Valley-46156
Rosemary's Baby;2014;"""Rosemary's Baby"" es la nueva versión de la novela de superventas de Ira levin, que sigue a una mujer embarazada quien descubre una trama siniestra alrededor de su bebé no nacido.";https://www.starz.com/ar/es/series/Rosemary's-Baby-45825
SEDUCED: INSIDE THE NXIVM CULT;2020;"Esta docuserie de la directora y productora Cecilia Peck y la productora y editora Inbal Lessner —quienes colaboraron en ""Brave Miss World"", nominada al Emmy®— sigue el peligroso viaje de India Oxenberg a través del culto de esclavización sexual NXVIM.";https://www.starz.com/ar/es/series/SEDUCED:-INSIDE-THE-NXIVM-CULT-59967
Spartacus;2010;Traicionado por Romanos. Forzado a la esclavitud. Renacido como Gladiador. Apartado de su patria y su mujer, Spartacus es condenado al mundo de la arena donde la sangre y la muerte reinan.;https://www.starz.com/ar/es/series/Spartacus-5972
Blue Mountain State;2010;En Blue Mountain State, el campus universitario más pendenciero del país, los atletas aprenden los altibajos de ser unos de los pocos elegidos que son venerados en el campus.;https://www.starz.com/ar/es/series/Blue-Mountain-State-46152
Run the World;2021;"""Run the World"" es una serie de ocho episodios de media hora de duración que cuenta la historia de un grupo de mujeres negras, vibrantes y leales mejores amigas, que trabajan, viven y juegan en Harlem mientras se esfuerzan por dominar el mundo. En esencia, es un programa femenino sin pelos en la lengua que trata de una amistad envidiable y de no sólo sobrevivir, sino de progresar juntas.";https://www.starz.com/ar/es/series/Run-the-World-58457
America To Me;2018;La serie documental sin libreto “América para mí” lidia con problemas cruciales al plantear preguntas complejas y controvertidas, como se ve a través de los ojos de un diverso grupo de jóvenes estadounidenses.;https://www.starz.com/ar/es/series/America-To-Me-38818
Blindspotting;2021;"“Blindspotting” es protagonizada por Ashley que vive en Oakland, donde su novio y padre de su hijo es encarcelado; esta situación la deja en la nada y le produce una crisis existencial.";https://www.starz.com/ar/es/series/Blindspotting-62263
Chasing Life;2014;Chasing Life sigue a April, una periodista de veintitantos años cuya vida finalmente se está arreglando. Cuando repentinamente le diagnostican cáncer, su mundo se pone de cabeza y ella debe aprender a seguir persiguiendo la vida.;https://www.starz.com/ar/es/series/Chasing-Life-45516
The Dresden Files;2007;Harry Dresden (Paul Blackthorne), detective privado con habilidades extraordinarias. Ayuda a la policía con delitos al parecer inexplicables y sigue sus propios casos, siempre con un sentido del humor irónico.;https://www.starz.com/ar/es/series/The-Dresden-Files-45616
Fleming: El Hombre Que Sería Bond;2014;Drama de acción basado en la historia de la vida de Ian Fleming, creador de James Bond.;https://www.starz.com/ar/es/series/Fleming:-El-Hombre-Que-Sería-Bond-45716
High Fidelity;2020;"Una re-imaginación de la novela de 1995 de Nick Hornby, ""High Fidelity"" se centra en Rob, una dueña de una tienda de discos que recuerda las relaciones pasadas a través de la música y la cultura pop.";https://www.starz.com/ar/es/series/High-Fidelity-60255
Howards End;2018;"""Howards End"" es la historia de dos hermanas independientes, poco convencionales y los hombres en sus vidas; buscan significado y amor mientras navegan en un mundo que cambia constantemente.";https://www.starz.com/ar/es/series/Howards-End-37269
The Kill Point;2007;"""Este drama lleno de testosterona trata de un grupo de veteranos de guerra insensibilizados, quienes se enfrentan a un negociador de rehenes que se niega a retroceder durante un atraco bancario frustrado"".";https://www.starz.com/ar/es/series/The-Kill-Point-45612
Leavenworth;2019;"""Leavenworth"" está basada en la polémica historia real de Clint Lorance, un ex teniente, que cumple una condena de 19 años por homicidio en la prisión estadounidense de ""Leavenworth.""";https://www.starz.com/ar/es/series/Leavenworth-45100
The Little Drummer Girl;2018;Un asesino palestino está focalizándose en israelíes prominentes. Los israelíes reclutan una actriz inglesa para infiltrarse en su célula terrorista. Esto requerirá todo su talento interpretativo y la pondrá en riesgo.;https://www.starz.com/ar/es/series/The-Little-Drummer-Girl-45715
Step Up;2018;Basada en las películas favoritas de los fans, la serie Step Up es un drama emocionante, sexy, y lleno de música sobre bailarines en una escuela de artes escénicas comtemporáneas.;https://www.starz.com/ar/es/series/Step-Up-62777
Warriors Of Liberty City;2018;La serie sigue a los Guerreros de Liberty City, un programa de fútbol juvenil. La vida, como el fútbol, es un deporte de contacto, y para los niños, ser un Guerrero es el secreto para ambos.;https://www.starz.com/ar/es/series/Warriors-Of-Liberty-City-39040
Wolf Creek;2016;Mick Taylor regresa para causar estragos en Wolf Creek. Excepto que esta vez una víctima se defiende. La única sobreviviente de la masacre de su familia, la estudiante universitaria Eve Thorogood, promete llevar al asesino ante la justicia.;https://www.starz.com/ar/es/series/Wolf-Creek-46155
Wrong Man;2018;Un equipo de expertos junto con investigadores locales buscan la verdad que hay detrás de casos criminales de convictos que fueron encarcelados por décadas y que presumen ser inocentes.;https://www.starz.com/ar/es/series/Wrong-Man-38184
